,股票名称,股票代码,所属中证行业(2016) [行业类别]1级,所属中证行业(2016) [行业类别]2级,所属中证行业(2016) [行业类别]3级,所属中证行业(2016) [行业类别]4级,股票风格分类
1187,特一药业,002728.SZ,医药卫生,医药生物,制药,化学药,混合型
1188,好利科技,002729.SZ,工业,资本品,电气设备,电气部件与设备,价值型
1189,电光科技,002730.SZ,工业,资本品,电气设备,电气部件与设备,混合型
1190,萃华珠宝,002731.SZ,可选消费,耐用消费品与服装,珠宝与奢侈品,珠宝与奢侈品,价值型
1191,燕塘乳业,002732.SZ,主要消费,食品、饮料与烟草,包装食品与肉类,包装食品与肉类,混合型
1192,雄韬股份,002733.SZ,工业,资本品,电气设备,电气部件与设备,混合型
1193,利民股份,002734.SZ,原材料,原材料,化学制品,化肥与农药,成长型
1194,王子新材,002735.SZ,原材料,原材料,容器与包装,金属与玻璃容器,成长型
1195,国信证券,002736.SZ,金融地产,资本市场,资本市场,投资银行业与经纪业,成长型
1196,葵花药业,002737.SZ,医药卫生,医药生物,制药,中药,混合型
1197,中矿资源,002738.SZ,工业,商业服务与用品,商业服务与用品,其他商业服务,成长型
1198,万达电影,002739.SZ,可选消费,传媒,传媒,电影与娱乐,混合型
1199,爱迪尔,002740.SZ,可选消费,耐用消费品与服装,珠宝与奢侈品,珠宝与奢侈品,价值型
1200,光华科技,002741.SZ,原材料,原材料,化学制品,其他化学制品,成长型
1201,三圣股份,002742.SZ,原材料,原材料,建筑材料,水泥,混合型
1202,富煌钢构,002743.SZ,工业,资本品,建筑产品,建筑产品,成长型
1203,木林森,002745.SZ,信息技术,计算机及电子设备,电子设备,光电子器件,成长型
1204,仙坛股份,002746.SZ,主要消费,食品、饮料与烟草,农牧渔产品,畜牧产品,混合型
1205,埃斯顿,002747.SZ,工业,资本品,机械制造,通用机械,成长型
1206,世龙实业,002748.SZ,原材料,原材料,化学制品,其他化学制品,混合型
1207,国光股份,002749.SZ,原材料,原材料,化学制品,化肥与农药,混合型
1208,龙津药业,002750.SZ,医药卫生,医药生物,制药,中药,价值型
1209,易尚展示,002751.SZ,工业,商业服务与用品,商业服务与用品,办公服务与用品,成长型
1210,昇兴股份,002752.SZ,原材料,原材料,容器与包装,金属与玻璃容器,成长型
1211,永东股份,002753.SZ,原材料,原材料,化学制品,橡胶制品,混合型
1212,奥赛康,002755.SZ,医药卫生,医药生物,制药,化学药,混合型
1213,永兴材料,002756.SZ,原材料,原材料,钢铁,钢铁,价值型
1214,南兴股份,002757.SZ,工业,资本品,机械制造,其他机械设备,成长型
1215,浙农股份,002758.SZ,医药卫生,医药生物,制药,药品经销商,成长型
1216,天际股份,002759.SZ,可选消费,耐用消费品与服装,家庭耐用消费品,家用电器,混合型
1217,凤形股份,002760.SZ,工业,资本品,机械制造,通用机械,成长型
1218,浙江建投,002761.SZ,工业,资本品,建筑与工程,土木工程,成长型
1219,金发拉比,002762.SZ,可选消费,耐用消费品与服装,纺织服装,服装服饰,价值型
1220,汇洁股份,002763.SZ,可选消费,耐用消费品与服装,纺织服装,服装服饰,价值型
1221,蓝黛科技,002765.SZ,可选消费,汽车与汽车零部件,汽车零配件与轮胎,汽车零配件,价值型
1222,*ST索菱,002766.SZ,信息技术,计算机运用,软件开发,软件开发,价值型
1223,先锋电子,002767.SZ,信息技术,计算机及电子设备,电子设备,电子设备及仪表制造商,混合型
1224,国恩股份,002768.SZ,原材料,原材料,化学制品,塑料制品,成长型
1225,普路通,002769.SZ,工业,交通运输,航空货运与物流,物流,价值型
1226,*ST科迪,002770.SZ,主要消费,食品、饮料与烟草,包装食品与肉类,包装食品与肉类,价值型
1227,真视通,002771.SZ,信息技术,计算机运用,信息技术服务,系统集成及IT咨询,价值型
1228,众兴菌业,002772.SZ,主要消费,食品、饮料与烟草,农牧渔产品,其他农产品,成长型
1229,康弘药业,002773.SZ,医药卫生,医药生物,制药,中药,成长型
1230,快意电梯,002774.SZ,工业,资本品,机械制造,其他机械设备,成长型
1231,文科园林,002775.SZ,工业,资本品,建筑与工程,园林工程,混合型
1232,ST柏龙,002776.SZ,可选消费,耐用消费品与服装,纺织服装,服装服饰,混合型
1233,久远银海,002777.SZ,信息技术,计算机运用,信息技术服务,系统集成及IT咨询,成长型
1234,中晟高科,002778.SZ,原材料,原材料,化学制品,其他化学制品,成长型
1235,中坚科技,002779.SZ,工业,资本品,机械制造,其他机械设备,价值型
1236,三夫户外,002780.SZ,可选消费,零售业,其他零售,其他零售,价值型
1237,奇信股份,002781.SZ,工业,资本品,建筑与工程,建筑装修,价值型
1238,可立克,002782.SZ,信息技术,计算机及电子设备,电子设备,电子设备及仪表制造商,成长型
1239,凯龙股份,002783.SZ,原材料,原材料,化学制品,其他化学制品,混合型
1240,万里石,002785.SZ,工业,资本品,建筑产品,建筑产品,混合型
1241,银宝山新,002786.SZ,工业,资本品,机械制造,其他机械设备,混合型
1242,华源控股,002787.SZ,原材料,原材料,容器与包装,金属与玻璃容器,混合型
1243,鹭燕医药,002788.SZ,医药卫生,医药生物,制药,药品经销商,混合型
1244,建艺集团,002789.SZ,工业,资本品,建筑与工程,建筑装修,价值型
1245,瑞尔特,002790.SZ,可选消费,耐用消费品与服装,家庭耐用消费品,家用器具与特殊消费品,混合型
1246,坚朗五金,002791.SZ,工业,资本品,建筑产品,建筑产品,成长型
1247,通宇通讯,002792.SZ,电信业务,通信设备,通信设备,通信传输设备,混合型
1248,罗欣药业,002793.SZ,医药卫生,医药生物,制药,化学药,混合型
1249,永和智控,002795.SZ,工业,资本品,建筑产品,建筑产品,混合型
1250,世嘉科技,002796.SZ,工业,资本品,机械制造,其他机械设备,成长型
1251,第一创业,002797.SZ,金融地产,资本市场,资本市场,投资银行业与经纪业,成长型
1252,帝欧家居,002798.SZ,可选消费,耐用消费品与服装,家庭耐用消费品,家用器具与特殊消费品,成长型
1253,环球印务,002799.SZ,原材料,原材料,容器与包装,纸材料包装,成长型
1254,天顺股份,002800.SZ,工业,交通运输,航空货运与物流,物流,成长型
1255,微光股份,002801.SZ,工业,资本品,电气设备,电气部件与设备,成长型
1256,洪汇新材,002802.SZ,原材料,原材料,化学制品,纤维及树脂,混合型
1257,吉宏股份,002803.SZ,信息技术,计算机运用,互联网服务,互联网信息服务,成长型
1258,丰元股份,002805.SZ,原材料,原材料,化学原料,化学原料,混合型
1259,华锋股份,002806.SZ,信息技术,计算机及电子设备,电子设备,电子设备及仪表制造商,成长型
1260,江阴银行,002807.SZ,金融地产,银行,商业银行,区域性银行,成长型
1261,恒久科技,002808.SZ,信息技术,计算机及电子设备,电子设备,电子设备及仪表制造商,混合型
1262,红墙股份,002809.SZ,原材料,原材料,化学制品,其他化学制品,成长型
1263,山东赫达,002810.SZ,原材料,原材料,化学制品,其他化学制品,成长型
1264,郑中设计,002811.SZ,工业,资本品,建筑与工程,建筑装修,混合型
1265,恩捷股份,002812.SZ,原材料,原材料,化学制品,塑料制品,成长型
1266,路畅科技,002813.SZ,信息技术,计算机运用,软件开发,软件开发,价值型
1267,崇达技术,002815.SZ,信息技术,计算机及电子设备,电子设备,电子设备及仪表制造商,混合型
1268,和科达,002816.SZ,工业,资本品,机械制造,其他机械设备,价值型
1269,黄山胶囊,002817.SZ,医药卫生,医药生物,制药,化学药,混合型
1270,富森美,002818.SZ,工业,商业服务与用品,商业服务与用品,市场服务,价值型
1271,东方中科,002819.SZ,信息技术,计算机及电子设备,电子设备,电脑及电子设备经销商,混合型
1272,桂发祥,002820.SZ,主要消费,食品、饮料与烟草,包装食品与肉类,包装食品与肉类,价值型
1273,凯莱英,002821.SZ,医药卫生,医药生物,制药,化学药,成长型
1274,中装建设,002822.SZ,工业,资本品,建筑与工程,建筑装修,成长型
1275,凯中精密,002823.SZ,工业,资本品,电气设备,电气部件与设备,价值型
1276,和胜股份,002824.SZ,原材料,原材料,有色金属,铝,混合型
1277,纳尔股份,002825.SZ,原材料,原材料,化学制品,塑料制品,成长型
1278,易明医药,002826.SZ,医药卫生,医药生物,制药,中药,成长型
1279,高争民爆,002827.SZ,原材料,原材料,化学制品,其他化学制品,成长型
1280,贝肯能源,002828.SZ,能源,能源,能源开采设备与服务,石油与天然气钻井,混合型
1281,星网宇达,002829.SZ,工业,资本品,航空航天与国防,航空航天与国防,成长型
1282,名雕股份,002830.SZ,可选消费,消费者服务,综合消费者服务,特殊消费者服务,价值型
1283,裕同科技,002831.SZ,原材料,原材料,容器与包装,纸材料包装,成长型
1284,比音勒芬,002832.SZ,可选消费,耐用消费品与服装,纺织服装,服装服饰,成长型
1285,弘亚数控,002833.SZ,工业,资本品,机械制造,其他机械设备,成长型
1286,同为股份,002835.SZ,信息技术,计算机及电子设备,电子设备,电子设备及仪表制造商,成长型
1287,新宏泽,002836.SZ,工业,商业服务与用品,商业服务与用品,商业印刷,混合型
1288,英维克,002837.SZ,工业,资本品,机械制造,其他机械设备,成长型
1289,道恩股份,002838.SZ,原材料,原材料,化学制品,塑料制品,成长型
1290,张家港行,002839.SZ,金融地产,银行,商业银行,区域性银行,混合型
1291,华统股份,002840.SZ,主要消费,食品、饮料与烟草,包装食品与肉类,包装食品与肉类,成长型
1292,视源股份,002841.SZ,信息技术,计算机及电子设备,电子设备,光电子器件,成长型
1293,翔鹭钨业,002842.SZ,原材料,原材料,有色金属,稀有金属,混合型
1294,泰嘉股份,002843.SZ,工业,资本品,机械制造,通用机械,价值型
1295,同兴达,002845.SZ,信息技术,计算机及电子设备,电子设备,光电子器件,成长型
1296,英联股份,002846.SZ,原材料,原材料,容器与包装,金属与玻璃容器,成长型
1297,盐津铺子,002847.SZ,主要消费,食品、饮料与烟草,包装食品与肉类,包装食品与肉类,成长型
1298,高斯贝尔,002848.SZ,电信业务,通信设备,通信设备,通信终端设备,价值型
1299,威星智能,002849.SZ,信息技术,计算机及电子设备,电子设备,电子设备及仪表制造商,成长型
1300,科达利,002850.SZ,工业,资本品,电气设备,新能源设备,成长型
1301,麦格米特,002851.SZ,工业,资本品,电气设备,电气部件与设备,成长型
1302,道道全,002852.SZ,主要消费,食品、饮料与烟草,包装食品与肉类,包装食品与肉类,混合型
1303,皮阿诺,002853.SZ,可选消费,耐用消费品与服装,家庭耐用消费品,家庭装饰品,成长型
1304,捷荣技术,002855.SZ,信息技术,计算机及电子设备,电子设备,电子设备及仪表制造商,成长型
1305,美芝股份,002856.SZ,工业,资本品,建筑与工程,建筑装修,混合型
1306,三晖电气,002857.SZ,工业,资本品,电气设备,电气部件与设备,混合型
1307,力盛赛车,002858.SZ,可选消费,消费者服务,酒店、餐馆与休闲,休闲服务,混合型
1308,洁美科技,002859.SZ,信息技术,计算机及电子设备,电子设备,电子设备及仪表制造商,成长型
1309,星帅尔,002860.SZ,工业,资本品,电气设备,电气部件与设备,成长型
1310,瀛通通讯,002861.SZ,信息技术,计算机及电子设备,电子设备,电子设备及仪表制造商,混合型
1311,实丰文化,002862.SZ,可选消费,耐用消费品与服装,休闲设备与用品,休闲设备与用品,价值型
1312,今飞凯达,002863.SZ,可选消费,汽车与汽车零部件,汽车零配件与轮胎,汽车零配件,成长型
1313,盘龙药业,002864.SZ,医药卫生,医药生物,制药,中药,成长型
1314,钧达股份,002865.SZ,可选消费,汽车与汽车零部件,汽车零配件与轮胎,汽车零配件,混合型
1315,传艺科技,002866.SZ,信息技术,计算机及电子设备,电子设备,电子设备及仪表制造商,成长型
1316,周大生,002867.SZ,可选消费,耐用消费品与服装,珠宝与奢侈品,珠宝与奢侈品,成长型
1317,绿康生化,002868.SZ,医药卫生,医药生物,制药,化学药,价值型
1318,金溢科技,002869.SZ,信息技术,计算机运用,信息技术服务,系统集成及IT咨询,成长型
1319,香山股份,002870.SZ,信息技术,计算机及电子设备,电子设备,电子设备及仪表制造商,混合型
1320,伟隆股份,002871.SZ,工业,资本品,机械制造,通用机械,混合型
1321,ST天圣,002872.SZ,医药卫生,医药生物,制药,药品经销商,混合型
1322,新天药业,002873.SZ,医药卫生,医药生物,制药,中药,成长型
1323,安奈儿,002875.SZ,可选消费,耐用消费品与服装,纺织服装,服装服饰,价值型
1324,三利谱,002876.SZ,信息技术,计算机及电子设备,电子设备,光电子器件,成长型
1325,智能自控,002877.SZ,工业,资本品,机械制造,其他机械设备,混合型
1326,元隆雅图,002878.SZ,可选消费,传媒,传媒,营销与广告,成长型
1327,长缆科技,002879.SZ,工业,资本品,电气设备,电气部件与设备,混合型
1328,卫光生物,002880.SZ,医药卫生,医药生物,生物科技,生物科技,成长型
1329,美格智能,002881.SZ,信息技术,计算机及电子设备,电子设备,电子设备及仪表制造商,成长型
1330,金龙羽,002882.SZ,工业,资本品,电气设备,电气部件与设备,成长型
1331,中设股份,002883.SZ,工业,商业服务与用品,商业服务与用品,其他商业服务,成长型
1332,凌霄泵业,002884.SZ,工业,资本品,机械制造,通用机械,成长型
1333,京泉华,002885.SZ,信息技术,计算机及电子设备,电子设备,电子设备及仪表制造商,成长型
1334,沃特股份,002886.SZ,原材料,原材料,化学制品,塑料制品,成长型
1335,绿茵生态,002887.SZ,工业,资本品,环保设备、工程与服务,环保服务,成长型
1336,惠威科技,002888.SZ,可选消费,耐用消费品与服装,家庭耐用消费品,消费电子产品,混合型
1337,东方嘉盛,002889.SZ,工业,交通运输,航空货运与物流,物流,价值型
1338,弘宇股份,002890.SZ,工业,资本品,机械制造,农用机械,成长型
1339,中宠股份,002891.SZ,主要消费,食品、饮料与烟草,包装食品与肉类,包装食品与肉类,成长型
1340,科力尔,002892.SZ,工业,资本品,电气设备,电气部件与设备,成长型
1341,华通热力,002893.SZ,公用事业,公用事业,供热或其他公用事业,供热或其他公用事业,价值型
1342,川恒股份,002895.SZ,原材料,原材料,化学制品,其他化学制品,成长型
1343,中大力德,002896.SZ,工业,资本品,机械制造,通用机械,成长型
1344,意华股份,002897.SZ,电信业务,通信设备,通信设备,通信传输设备,成长型
1345,赛隆药业,002898.SZ,医药卫生,医药生物,制药,化学药,价值型
1346,英派斯,002899.SZ,可选消费,耐用消费品与服装,休闲设备与用品,休闲设备与用品,混合型
1347,哈三联,002900.SZ,医药卫生,医药生物,制药,化学药,混合型
1348,大博医疗,002901.SZ,医药卫生,医疗器械与服务,医疗器械,医疗器械,成长型
1349,铭普光磁,002902.SZ,电信业务,通信设备,通信设备,通信传输设备,混合型
1350,宇环数控,002903.SZ,工业,资本品,机械制造,通用机械,成长型
1351,金逸影视,002905.SZ,可选消费,传媒,传媒,电影与娱乐,价值型
1352,华阳集团,002906.SZ,可选消费,汽车与汽车零部件,汽车零配件与轮胎,汽车零配件,混合型
1353,华森制药,002907.SZ,医药卫生,医药生物,制药,化学药,成长型
1354,德生科技,002908.SZ,信息技术,计算机运用,信息技术服务,系统集成及IT咨询,混合型
1355,集泰股份,002909.SZ,原材料,原材料,化学制品,其他化学制品,成长型
1356,庄园牧场,002910.SZ,主要消费,食品、饮料与烟草,包装食品与肉类,包装食品与肉类,混合型
1357,佛燃能源,002911.SZ,公用事业,公用事业,燃气,燃气,成长型
1358,中新赛克,002912.SZ,信息技术,计算机运用,软件开发,软件开发,成长型
1359,奥士康,002913.SZ,信息技术,计算机及电子设备,电子设备,电子设备及仪表制造商,成长型
1360,中欣氟材,002915.SZ,原材料,原材料,化学原料,化学原料,成长型
1361,深南电路,002916.SZ,信息技术,计算机及电子设备,电子设备,电子设备及仪表制造商,成长型
1362,金奥博,002917.SZ,原材料,原材料,化学制品,其他化学制品,混合型
1363,蒙娜丽莎,002918.SZ,工业,资本品,建筑产品,建筑产品,混合型
1364,名臣健康,002919.SZ,主要消费,家庭与个人用品,个人用品,个人用品,成长型
1365,德赛西威,002920.SZ,可选消费,汽车与汽车零部件,汽车零配件与轮胎,汽车零配件,混合型
1366,联诚精密,002921.SZ,可选消费,汽车与汽车零部件,汽车零配件与轮胎,汽车零配件,成长型
1367,伊戈尔,002922.SZ,工业,资本品,电气设备,电气部件与设备,混合型
1368,润都股份,002923.SZ,医药卫生,医药生物,制药,化学药,成长型
1369,盈趣科技,002925.SZ,可选消费,耐用消费品与服装,家庭耐用消费品,消费电子产品,成长型
1370,华西证券,002926.SZ,金融地产,资本市场,资本市场,投资银行业与经纪业,成长型
1371,泰永长征,002927.SZ,工业,资本品,电气设备,电气部件与设备,成长型
1372,华夏航空,002928.SZ,工业,交通运输,航空公司,航空公司,成长型
1373,润建股份,002929.SZ,信息技术,计算机运用,信息技术服务,系统集成及IT咨询,成长型
1374,宏川智慧,002930.SZ,工业,商业服务与用品,商业服务与用品,其他商业服务,成长型
1375,锋龙股份,002931.SZ,工业,资本品,机械制造,其他机械设备,成长型
1376,明德生物,002932.SZ,医药卫生,医药生物,生物科技,生物科技,成长型
1377,新兴装备,002933.SZ,工业,资本品,航空航天与国防,航空航天与国防,成长型
1378,天奥电子,002935.SZ,工业,资本品,航空航天与国防,航空航天与国防,成长型
1379,郑州银行,002936.SZ,金融地产,银行,商业银行,区域性银行,成长型
1380,兴瑞科技,002937.SZ,信息技术,计算机及电子设备,电子设备,电子设备及仪表制造商,成长型
1381,鹏鼎控股,002938.SZ,信息技术,计算机及电子设备,电子设备,电子设备及仪表制造商,成长型
1382,长城证券,002939.SZ,金融地产,资本市场,资本市场,投资银行业与经纪业,成长型
1383,昂利康,002940.SZ,医药卫生,医药生物,制药,化学药,成长型
1384,新疆交建,002941.SZ,工业,资本品,建筑与工程,土木工程,成长型
1385,新农股份,002942.SZ,原材料,原材料,化学制品,化肥与农药,成长型
1386,宇晶股份,002943.SZ,工业,资本品,机械制造,通用机械,混合型
1387,华林证券,002945.SZ,金融地产,资本市场,资本市场,投资银行业与经纪业,成长型
1388,新乳业,002946.SZ,主要消费,食品、饮料与烟草,包装食品与肉类,包装食品与肉类,成长型
1389,恒铭达,002947.SZ,信息技术,计算机及电子设备,电子设备,电子设备及仪表制造商,成长型
1390,青岛银行,002948.SZ,金融地产,银行,商业银行,区域性银行,成长型
1391,华阳国际,002949.SZ,工业,商业服务与用品,商业服务与用品,其他商业服务,成长型
1392,奥美医疗,002950.SZ,医药卫生,医疗器械与服务,医疗器械,医疗器械,成长型
1393,金时科技,002951.SZ,工业,商业服务与用品,商业服务与用品,商业印刷,成长型
1394,亚世光电,002952.SZ,信息技术,计算机及电子设备,电子设备,光电子器件,混合型
1395,日丰股份,002953.SZ,可选消费,耐用消费品与服装,家庭耐用消费品,家用电器,成长型
1396,鸿合科技,002955.SZ,信息技术,计算机及电子设备,电脑与外围设备,电脑与外围设备,成长型
1397,西麦食品,002956.SZ,主要消费,食品、饮料与烟草,包装食品与肉类,包装食品与肉类,成长型
1398,科瑞技术,002957.SZ,工业,资本品,机械制造,其他机械设备,成长型
1399,青农商行,002958.SZ,金融地产,银行,商业银行,区域性银行,混合型
1400,小熊电器,002959.SZ,可选消费,耐用消费品与服装,家庭耐用消费品,家用电器,成长型
1401,青鸟消防,002960.SZ,信息技术,计算机及电子设备,电子设备,电子设备及仪表制造商,成长型
1402,瑞达期货,002961.SZ,金融地产,资本市场,资本市场,投资银行业与经纪业,成长型
1403,五方光电,002962.SZ,信息技术,计算机及电子设备,电子设备,光电子器件,成长型
1404,豪尔赛,002963.SZ,工业,资本品,建筑与工程,建筑装修,成长型
1405,祥鑫科技,002965.SZ,可选消费,汽车与汽车零部件,汽车零配件与轮胎,汽车零配件,成长型
1406,苏州银行,002966.SZ,金融地产,银行,商业银行,区域性银行,混合型
1407,广电计量,002967.SZ,工业,商业服务与用品,商业服务与用品,其他商业服务,成长型
1408,新大正,002968.SZ,金融地产,房地产,房地产管理与服务,房地产管理与服务,成长型
1409,嘉美包装,002969.SZ,原材料,原材料,容器与包装,金属与玻璃容器,成长型
1410,锐明技术,002970.SZ,可选消费,汽车与汽车零部件,汽车零配件与轮胎,汽车零配件,成长型
1411,和远气体,002971.SZ,原材料,原材料,化学原料,化学原料,成长型
1412,科安达,002972.SZ,工业,资本品,机械制造,铁路设备,成长型
1413,侨银股份,002973.SZ,工业,资本品,环保设备、工程与服务,环保服务,成长型
1414,博杰股份,002975.SZ,工业,资本品,机械制造,其他机械设备,成长型
1415,瑞玛精密,002976.SZ,工业,资本品,机械制造,通用机械,混合型
1416,天箭科技,002977.SZ,工业,资本品,航空航天与国防,航空航天与国防,成长型
1417,安宁股份,002978.SZ,原材料,原材料,有色金属,其它有色金属及合金,混合型
1418,雷赛智能,002979.SZ,工业,资本品,机械制造,通用机械,成长型
1419,华盛昌,002980.SZ,信息技术,计算机及电子设备,电子设备,电子设备及仪表制造商,成长型
1420,朝阳科技,002981.SZ,信息技术,计算机及电子设备,电子设备,电子设备及仪表制造商,成长型
1421,湘佳股份,002982.SZ,主要消费,食品、饮料与烟草,农牧渔产品,畜牧产品,成长型
1422,芯瑞达,002983.SZ,信息技术,计算机及电子设备,电子设备,光电子器件,成长型
1423,森麒麟,002984.SZ,可选消费,汽车与汽车零部件,汽车零配件与轮胎,轮胎,成长型
1424,北摩高科,002985.SZ,工业,资本品,航空航天与国防,航空航天与国防,成长型
1425,宇新股份,002986.SZ,原材料,原材料,化学原料,化学原料,混合型
1426,京北方,002987.SZ,信息技术,计算机运用,信息技术服务,IT外包服务,成长型
1427,豪美新材,002988.SZ,工业,资本品,建筑产品,建筑产品,混合型
1428,中天精装,002989.SZ,工业,资本品,建筑与工程,建筑装修,成长型
1429,盛视科技,002990.SZ,信息技术,计算机运用,信息技术服务,系统集成及IT咨询,成长型
1430,甘源食品,002991.SZ,主要消费,食品、饮料与烟草,包装食品与肉类,包装食品与肉类,成长型
1431,宝明科技,002992.SZ,信息技术,计算机及电子设备,电子设备,光电子器件,混合型
1432,奥海科技,002993.SZ,信息技术,计算机及电子设备,电子设备,电子设备及仪表制造商,成长型
1433,天地在线,002995.SZ,信息技术,计算机运用,互联网服务,互联网信息服务,成长型
1434,顺博合金,002996.SZ,原材料,原材料,有色金属,铝,混合型
1435,瑞鹄模具,002997.SZ,工业,资本品,机械制造,其他机械设备,成长型
1436,优彩资源,002998.SZ,原材料,原材料,化学制品,纤维及树脂,成长型
1437,天禾股份,002999.SZ,工业,商业服务与用品,商业服务与用品,工业品贸易商,成长型
1438,劲仔食品,003000.SZ,主要消费,食品、饮料与烟草,包装食品与肉类,包装食品与肉类,成长型
1439,中岩大地,003001.SZ,工业,资本品,建筑与工程,土木工程,成长型
1440,壶化股份,003002.SZ,原材料,原材料,化学制品,其他化学制品,成长型
1441,天元股份,003003.SZ,工业,商业服务与用品,商业服务与用品,商业印刷,成长型
1442,声迅股份,003004.SZ,信息技术,计算机运用,互联网服务,互联网信息服务,成长型
1443,竞业达,003005.SZ,信息技术,计算机运用,互联网服务,互联网信息服务,成长型
1444,百亚股份,003006.SZ,主要消费,家庭与个人用品,家常用品,家常用品,成长型
1445,直真科技,003007.SZ,信息技术,计算机运用,软件开发,软件开发,成长型
1446,开普检测,003008.SZ,工业,商业服务与用品,商业服务与用品,其他商业服务,混合型
1447,中天火箭,003009.SZ,工业,交通运输,航空货运与物流,航空货运,成长型
1448,若羽臣,003010.SZ,可选消费,传媒,传媒,营销与广告,成长型
1449,海象新材,003011.SZ,可选消费,耐用消费品与服装,家庭耐用消费品,家庭装饰品,成长型
1450,东鹏控股,003012.SZ,可选消费,耐用消费品与服装,家庭耐用消费品,家庭装饰品,价值型
1451,地铁设计,003013.SZ,工业,商业服务与用品,商业服务与用品,其他商业服务,成长型
1452,日久光电,003015.SZ,信息技术,计算机及电子设备,电子设备,光电子器件,成长型
1453,欣贺股份,003016.SZ,可选消费,耐用消费品与服装,纺织服装,服装服饰,混合型
1454,大洋生物,003017.SZ,原材料,原材料,化学制品,其他化学制品,成长型
1455,金富科技,003018.SZ,原材料,原材料,容器与包装,金属与玻璃容器,成长型
1456,宸展光电,003019.SZ,信息技术,计算机及电子设备,电子设备,光电子器件,成长型
1457,立方制药,003020.SZ,医药卫生,医药生物,制药,药品经销商,成长型
1458,兆威机电,003021.SZ,工业,资本品,机械制造,工程机械,成长型
1459,联泓新科,003022.SZ,原材料,原材料,化学制品,其他化学制品,成长型
1460,彩虹集团,003023.SZ,可选消费,耐用消费品与服装,家庭耐用消费品,消费电子产品,成长型
1461,思进智能,003025.SZ,工业,资本品,机械制造,其他机械设备,成长型
1462,中晶科技,003026.SZ,信息技术,半导体,半导体,半导体,成长型
1463,同兴环保,003027.SZ,工业,资本品,环保设备、工程与服务,环保设备,成长型
1464,振邦智能,003028.SZ,工业,资本品,电气设备,电气部件与设备,成长型
1465,吉大正元,003029.SZ,信息技术,计算机运用,软件开发,软件开发,成长型
1466,祖名股份,003030.SZ,主要消费,食品、饮料与烟草,包装食品与肉类,包装食品与肉类,成长型
1467,中瓷电子,003031.SZ,信息技术,计算机及电子设备,电子设备,光电子器件,成长型
1468,传智教育,003032.SZ,可选消费,消费者服务,综合消费者服务,教育服务,混合型
1469,征和工业,003033.SZ,工业,资本品,机械制造,通用机械,成长型
1470,南网能源,003035.SZ,工业,资本品,环保设备、工程与服务,环保服务,成长型
1471,泰坦股份,003036.SZ,工业,资本品,机械制造,其他机械设备,混合型
1472,三和管桩,003037.SZ,原材料,原材料,非金属采矿及制品,非金属采矿及制品,成长型
1473,鑫铂股份,003038.SZ,原材料,原材料,有色金属,铝,成长型
1474,顺控发展,003039.SZ,公用事业,公用事业,水务,水务,成长型
1475,楚天龙,003040.SZ,可选消费,耐用消费品与服装,家庭耐用消费品,消费电子产品,成长型
1476,真爱美家,003041.SZ,可选消费,耐用消费品与服装,纺织服装,纺织品,成长型
1477,中农联合,003042.SZ,原材料,原材料,化学制品,化肥与农药,成长型
1478,华亚智能,003043.SZ,信息技术,半导体,半导体,半导体,成长型
1479,中国广核,003816.SZ,公用事业,公用事业,电力,核电,成长型
1480,特锐德,300001.SZ,工业,资本品,电气设备,电气部件与设备,成长型
1481,神州泰岳,300002.SZ,信息技术,计算机运用,信息技术服务,IT外包服务,价值型
1482,乐普医疗,300003.SZ,医药卫生,医疗器械与服务,医疗器械,医疗器械,成长型
1483,南风股份,300004.SZ,工业,资本品,机械制造,其他机械设备,价值型
1484,探路者,300005.SZ,可选消费,耐用消费品与服装,纺织服装,服装服饰,价值型
1485,莱美药业,300006.SZ,医药卫生,医药生物,制药,化学药,混合型
1486,汉威科技,300007.SZ,信息技术,计算机及电子设备,电子设备,电子设备及仪表制造商,混合型
1487,天海防务,300008.SZ,工业,商业服务与用品,商业服务与用品,其他商业服务,价值型
1488,安科生物,300009.SZ,医药卫生,医药生物,生物科技,生物科技,成长型
1489,豆神教育,300010.SZ,信息技术,计算机运用,信息技术服务,系统集成及IT咨询,价值型
1490,鼎汉技术,300011.SZ,工业,资本品,机械制造,铁路设备,价值型
1491,华测检测,300012.SZ,工业,商业服务与用品,商业服务与用品,其他商业服务,成长型
1492,新宁物流,300013.SZ,工业,交通运输,航空货运与物流,物流,价值型
1493,亿纬锂能,300014.SZ,工业,资本品,电气设备,新能源设备,成长型
1494,爱尔眼科,300015.SZ,医药卫生,医疗器械与服务,医疗用品与服务提供商,医疗保健机构,成长型
1495,北陆药业,300016.SZ,医药卫生,医药生物,制药,化学药,成长型
1496,网宿科技,300017.SZ,信息技术,计算机运用,互联网服务,互联网信息服务,成长型
1497,中元股份,300018.SZ,工业,资本品,电气设备,电气部件与设备,价值型
1498,硅宝科技,300019.SZ,原材料,原材料,化学制品,其他化学制品,成长型
1499,银江技术,300020.SZ,信息技术,计算机运用,信息技术服务,系统集成及IT咨询,混合型
1500,大禹节水,300021.SZ,工业,资本品,机械制造,农用机械,混合型
1501,吉峰科技,300022.SZ,工业,商业服务与用品,商业服务与用品,工业品贸易商,价值型
1502,*ST宝德,300023.SZ,金融地产,其他金融,消费信贷,消费信贷,价值型
1503,机器人,300024.SZ,工业,资本品,机械制造,通用机械,成长型
